,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
175,097950,KR7097950000,CJ제일제당,KOSPI,,185400,1,2900,1.59,183300,187200,182300,82077,15230222400,2791046084400,15054186,STK
176,139130,KR7139130009,iM금융지주,KOSPI,,17470,1,500,2.95,16810,17500,16740,377644,6529081385,2766608737760,158363408,STK
177,001720,KR7001720002,신영증권,KOSPI,,166100,1,6700,4.2,162300,168000,160000,16041,2649559850,2730684000000,16440000,STK
178,064760,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,244000,1,17000,7.49,225000,259000,224000,137010,32883825250,2727777504000,11179416,KSQ
179,003690,KR7003690005,코리안리,KOSPI,,15290,1,620,4.23,14790,15290,14650,465747,6983293495,2702064563990,176721031,STK
180,489790,KR7489790006,한화비전,KOSPI,,53300,2,-900,-1.66,55100,55300,52700,323767,17332237600,2691031187000,50488390,STK
181,204320,KR7204320006,HL만도,KOSPI,,57100,1,1600,2.88,56100,58000,54000,771435,43590507950,2681251552000,46957120,STK
182,004370,KR7004370003,농심,KOSPI,,437500,1,48000,12.32,388000,440000,387000,154401,66058338500,2661155875000,6082642,STK
183,058610,KR7058610007,에스피지,KOSDAQ,우량기업부,118600,1,6400,5.7,113500,123800,112100,1362139,162590112250,2630234896000,22177360,KSQ
184,026960,KR7026960005,동서,KOSPI,,26300,1,100,0.38,25800,26450,25550,56264,1469646875,2622110000000,99700000,STK
185,383220,KR7383220001,F&F,KOSPI,,67000,2,-1800,-2.62,68200,69600,66200,65465,4389803900,2566574025000,38307075,STK
186,282330,KR7282330000,BGF리테일,KOSPI,,145200,1,2500,1.75,140700,148400,140700,85341,12388403900,2509623151200,17283906,STK
187,357780,KR7357780006,솔브레인,KOSDAQ GLOBAL,우량기업부,322000,2,-6000,-1.83,328000,329500,301000,38880,12188503250,2504698252000,7778566,KSQ
188,000240,KR7000240002,한국앤컴퍼니,KOSPI,,26250,1,250,0.96,25450,26350,25450,78619,2046879350,2492050050000,94935240,STK
189,336260,KR7336260005,두산퓨얼셀,KOSPI,,37850,2,-250,-0.66,38100,38450,36400,599888,22369129850,2478937529100,65493726,STK
190,009970,KR7009970005,영원무역홀딩스,KOSPI,,189400,2,-900,-0.47,187600,194500,187600,36439,6962004500,2453452939800,12953817,STK
191,011170,KR7011170008,롯데케미칼,KOSPI,,57200,2,-200,-0.35,57200,58400,56600,140201,8014086450,2446753966800,42775419,STK
192,181710,KR7181710005,NHN,KOSPI,,74700,1,8000,11.99,65500,76200,65500,422676,30987493000,2446659483300,32753139,STK
193,214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,37500,2,-2200,-5.54,39750,39950,37100,512724,19522715650,2446337212500,65235659,KSQ
194,067310,KR7067310003,하나마이크론,KOSDAQ,중견기업부,36600,2,-50,-0.14,37350,37900,34800,1927123,70840325100,2433565805400,66490869,KSQ
195,950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),28550,1,2950,11.52,26800,31850,24900,9800839,276301438575,2425898068000,84970160,KSQ
196,004990,KR7004990008,롯데지주,KOSPI,,24300,1,800,3.4,23550,24300,23500,167388,4038597200,2421829756800,99663776,STK
197,031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,111200,1,6000,5.7,108300,115400,98600,324859,35075252450,2397738324000,21562395,KSQ
198,226950,KR7226950004,올릭스,KOSDAQ GLOBAL,기술성장기업부,112000,2,-500,-0.44,113000,115800,107800,274197,30243975050,2359039200000,21062850,KSQ
199,014680,KR7014680003,한솔케미칼,KOSPI,,218500,2,-14000,-6.02,231500,238000,209500,97298,21060917500,2358496866000,10794036,STK
200,178320,KR7178320008,서진시스템,KOSDAQ,중견기업부,36950,3,0,0.0,37300,37800,35250,1260086,45942990300,2351894732150,63650737,KSQ
201,073240,KR7073240004,금호타이어,KOSPI,,8140,3,0,0.0,8210,8850,7960,11897318,99169808965,2338298736180,287260287,STK
202,279570,KR7279570006,케이뱅크,KOSPI,,5720,1,10,0.18,5800,5800,5620,577558,3279094775,2320576263720,405695151,STK
203,007070,KR7007070006,GS리테일,KOSPI,,27700,1,950,3.55,26450,27900,26450,163137,4481500300,2315925395500,83607415,STK
204,103140,KR7103140000,풍산,KOSPI,,82000,2,-2000,-2.38,83600,83700,80800,98939,8072849600,2297990796000,28024278,STK
205,018670,KR7018670000,SK가스,KOSPI,,244000,1,16000,7.02,231500,249000,229500,19292,4631640000,2261695536000,9269244,STK
206,081660,KR7081660003,미스토홀딩스,KOSPI,,42500,2,-400,-0.93,42300,43100,41950,112161,4762647050,2256403200000,53091840,STK
207,237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,106400,2,-1200,-1.12,107700,110000,104400,76624,8129352850,2221274283200,20876638,KSQ
208,005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,43450,1,250,0.58,44100,44150,41800,480216,20552882675,2214651974700,50970126,KSQ
209,098460,KR7098460009,고영,KOSDAQ,우량기업부,32350,1,450,1.41,32350,33050,31100,1142412,36624760200,2206406290550,68204213,KSQ
210,069960,KR7069960003,현대백화점,KOSPI,,102200,1,2500,2.51,101400,104100,100900,117886,12082935150,2203934006400,21564912,STK
211,005440,KR7005440003,현대지에프홀딩스,KOSPI,,11920,1,270,2.32,11670,11920,11590,145894,1719712610,2186094612080,183397199,STK
212,030000,KR7030000004,제일기획,KOSPI,,18980,1,270,1.44,18690,19010,18680,339762,6432370470,2183482450500,115041225,STK
213,139480,KR7139480008,이마트,KOSPI,,78900,1,800,1.02,78300,79000,76500,124603,9702182450,2177310119100,27595819,STK
214,140410,KR7140410002,메지온,KOSDAQ,투자주의환기종목(소속부없음),68700,1,900,1.33,67800,69200,66600,99056,6719605700,2102631787800,30605994,KSQ
215,051600,KR7051600005,한전KPS,KOSPI,,46350,1,150,0.32,46350,46950,45600,80273,3705256850,2085750000000,45000000,STK
216,439260,KR7439260001,대한조선,KOSPI,,54700,1,2900,5.6,53000,57500,53000,327274,18222000500,2083453531000,38088730,STK
217,010170,KR7010170009,대한광통신,KOSDAQ,중견기업부,13370,1,130,0.98,13300,13480,12450,6497690,83865121975,2078843274200,155485660,KSQ
218,032820,KR7032820003,우리기술,KOSDAQ,벤처기업부,11950,1,190,1.62,12050,12260,11550,1939230,22960230805,2064776113400,172784612,KSQ
219,457190,KR7457190007,이수스페셜티케미컬,KOSPI,,68200,1,1500,2.25,67100,68700,65200,90161,6045646300,2060927070400,30218872,STK
220,002790,KR7002790004,아모레퍼시픽홀딩스,KOSPI,,26350,1,150,0.57,26050,26500,26000,75718,1987941425,2014673043000,76458180,STK
221,475150,KR7475150009,SK이터닉스,KOSPI,,58300,1,1200,2.1,57800,58800,55900,3847623,221509409800,1986106333200,34067004,STK
222,112610,KR7112610001,씨에스윈드,KOSPI,,46850,2,-50,-0.11,46950,47250,45300,375857,17335229150,1975730230550,42171403,STK
223,071970,KR7071970008,HD현대마린엔진,KOSPI,,58200,1,200,0.34,59000,60100,57100,165046,9564368600,1974231009000,33921495,STK
224,263750,KR7263750002,펄어비스,KOSDAQ,우량기업부,31250,2,-250,-0.79,31100,32100,30950,758486,23763029875,1963872187500,62843910,KSQ
225,140860,KR7140860008,파크시스템스,KOSDAQ GLOBAL,우량기업부,279500,2,-3000,-1.06,280000,283500,275000,30528,8498266250,1957190085500,7002469,KSQ
